Wall time,Step,Value
1709180982.8405254,19,-0.6356773972511292
1709181002.0446348,48,11.752930641174316
1709181010.6719956,63,-2.149350166320801
1709181028.0074072,90,5.4385199546813965
1709181037.0514178,104,-1.6066770553588867
1709181039.176221,108,6.156184673309326
1709181053.4923098,129,1.351542592048645
1709181078.1989446,165,-2.7770791053771973
1709181082.9922178,173,5.864837169647217
1709181233.0464358,245,-2.3105039596557617
1709181277.3700862,260,6.229549884796143
1709181343.2246084,283,6.368046760559082
1709181647.4825163,387,5.161941051483154
1709181688.299153,403,1.5983248949050903
1709181726.0604763,416,7.695550918579102
1709181790.074134,438,-2.6069772243499756
1709181869.4412718,466,2.5238420963287354
1709181898.7696464,476,-1.1258201599121094
1709181915.2839165,482,3.997748613357544
1709181996.5635896,511,9.34879207611084
1709182063.099897,534,17.371559143066406
1709182076.321502,539,-5.7036967277526855
1709182082.6038992,541,-0.8515522480010986
1709182129.4488926,557,-0.12350940704345703
1709182237.050686,597,0.6487674713134766
1709182377.3331604,638,-1.3144090175628662
1709182399.1622758,644,-0.7184975147247314
1709182402.8117821,645,3.196918249130249
1709182453.6547403,659,-1.3199687004089355
1709182515.6915128,676,0.44384780526161194
1709182798.2699182,765,6.225236892700195
1709182825.7867072,776,3.803561210632324
1709182879.1392972,805,4.030078887939453
1709182968.8699179,867,6.488699436187744
1709182999.1362698,887,6.1132636070251465
1709183154.4901826,1016,6.538527011871338
1709183169.5810547,1027,6.309032917022705
1709183184.7075918,1038,5.695149898529053
1709183231.207205,1072,1.5468173027038574
1709183276.2478716,1112,6.169406890869141
1709183296.1026447,1126,5.962461948394775
1709183305.16442,1133,6.259215831756592
1709183326.3422732,1153,6.055882930755615
1709183339.1799285,1165,6.039951324462891
1709183352.9054873,1177,6.50667142868042
1709183361.320173,1185,6.138628005981445
1709183397.385494,1219,5.904101848602295
1709183430.381986,1253,6.176072597503662
1709183432.31526,1255,6.2790045738220215
1709183444.8220396,1268,5.458226680755615
1709183451.0756743,1272,6.1664509773254395
1709183564.038515,1377,5.935572147369385
1709183611.6608403,1418,6.00229549407959
1709183658.3063242,1458,12.702286720275879
1709183659.479149,1459,6.1233978271484375
1709183702.0179198,1495,5.728240013122559
1709183721.9660873,1511,5.8558502197265625
1709183725.3154485,1514,6.357724666595459
1709183774.936388,1549,5.247773170471191
1709183778.870977,1552,5.616292476654053
1709183801.0845354,1566,6.074790000915527
1709183881.7494185,1628,4.180909156799316
1709183890.9655607,1636,6.093947887420654
1709183941.146885,1671,6.015204906463623
1709183989.118989,1703,6.40904426574707
1709183998.7211423,1712,5.864423751831055
1709184181.4135098,1848,6.09919548034668
1709184205.3264315,1861,5.987583160400391
1709184257.681508,1900,5.077081680297852
1709184270.3612037,1910,6.065356731414795
1709184312.717244,1941,6.011960506439209
1709184340.5008748,1961,5.26849889755249
1709184341.401869,1962,5.993114948272705
1709184501.3869894,2071,6.214420318603516
1709184516.028898,2080,5.746005058288574
1709184529.7684608,2090,6.3293538093566895
1709184544.1621923,2101,6.0339131355285645
1709184701.954849,2210,6.064683437347412
1709184848.9303153,2320,6.28471565246582
1709184902.0062234,2360,5.772554874420166
1709185011.9296062,2437,5.739867687225342
1709185021.4096065,2442,5.480741500854492
1709185037.9171607,2455,5.7740983963012695
1709185048.0624704,2463,5.99125337600708
1709185055.51399,2466,5.800256729125977
1709185080.8088503,2486,6.221549987792969
1709185108.7340078,2504,6.08756685256958
1709185125.4722679,2518,6.285586833953857
1709185209.4970386,2578,6.449428558349609
1709185210.9676113,2579,6.334353923797607
1709185242.6021645,2600,5.461275100708008
