Wall time,Step,Value
1709174107.58612,19,-17.58612823486328
1709174113.962177,48,-12.738508224487305
1709174117.1434703,63,-7.6618828773498535
1709174123.4579995,90,-7.022092819213867
1709174126.7188249,104,-28.929107666015625
1709174127.5370178,108,-31.206466674804688
1709174132.1873076,129,-35.89699172973633
1709174139.8377724,165,-3.4448928833007812
1709174141.5566282,173,-11.791081428527832
1709174157.460312,245,-32.476139068603516
1709174160.9057758,260,-19.964805603027344
1709174165.981065,283,-27.540924072265625
1709174189.2814417,387,-22.05882453918457
1709174193.0065577,403,-11.92339038848877
1709174195.9849994,416,-31.262048721313477
1709174201.5022554,438,-23.386899948120117
1709174210.706823,466,-7.319095134735107
1709174213.0617676,476,-20.31266975402832
1709174214.4768813,482,-41.848785400390625
1709174220.844947,511,-12.1973237991333
1709174226.1630185,534,7.574512958526611
1709174227.3116746,539,-21.788738250732422
1709174227.7491584,541,-32.7937126159668
1709174231.5002193,557,-4.713189125061035
1709174241.0065947,597,-15.14598560333252
1709174261.2504292,638,-31.296173095703125
1709174264.2897224,644,-60.046287536621094
1709174264.7839684,645,-86.77088165283203
1709174271.9519887,659,-77.96674346923828
1709174281.246547,676,-73.76487731933594
1709174334.098685,765,-79.64622497558594
1709174340.7694454,776,-78.82819366455078
1709174361.177757,805,-79.95703125
1709174405.1304462,867,-84.74407196044922
1709174421.6750357,887,-77.97938537597656
1709174527.101912,1016,-82.6182632446289
1709174535.615044,1027,-83.37882232666016
1709174543.944628,1038,-84.3826904296875
1709174570.2103908,1072,-78.19537353515625
1709174601.4280126,1112,-65.5611801147461
1709174611.9727857,1126,-81.96709442138672
1709174617.438023,1133,-89.44877624511719
1709174633.1825027,1153,-76.80720520019531
1709174642.5110047,1165,-83.62679290771484
1709174651.6941023,1177,-92.14556884765625
1709174657.7515619,1185,-80.97247314453125
1709174684.2557597,1219,-69.1246337890625
1709174710.0698202,1253,-74.17780303955078
1709174711.657435,1255,-79.34632873535156
1709174721.622456,1268,-77.2590103149414
1709174724.7345738,1272,-85.7268295288086
1709174805.5042794,1377,-87.21844482421875
1709174836.8921497,1418,-22.807676315307617
1709174867.743531,1458,-68.35547637939453
1709174868.5132625,1459,-84.57369995117188
1709174896.5812984,1495,-92.566650390625
1709174909.198398,1511,-64.94432830810547
1709174911.5051734,1514,-66.11029815673828
1709174938.239197,1549,-86.06952667236328
1709174940.6216204,1552,-88.96562957763672
1709174951.693812,1566,-80.69308471679688
1709174999.5759141,1628,-72.1969985961914
1709175005.6717703,1636,-67.14263916015625
1709175033.5889614,1671,-35.06754684448242
1709175058.2631,1703,-61.76164627075195
1709175065.219699,1712,-73.03826904296875
1709175171.2217612,1848,-1.8802908658981323
1709175181.049103,1861,5.31432580947876
1709175211.3790414,1900,-12.725451469421387
1709175219.1543112,1910,-20.786062240600586
1709175243.0566516,1941,-10.351106643676758
1709175258.534908,1961,-11.266834259033203
1709175259.3833113,1962,-19.54869842529297
1709175345.7958295,2071,-4.086683750152588
1709175352.8629537,2080,-13.088685035705566
1709175360.740421,2090,3.925912857055664
1709175369.4584153,2101,-4.136086940765381
1709175455.041386,2210,-10.896873474121094
1709175538.7740529,2320,2.791614532470703
1709175570.0544665,2360,-19.751211166381836
1709175629.557773,2437,3.9375743865966797
1709175633.5033927,2442,-1.5159419775009155
1709175643.8955166,2455,-4.741318702697754
1709175649.5286205,2463,-0.7733405232429504
1709175651.50318,2466,6.225888252258301
1709175666.884792,2486,5.4022393226623535
1709175680.4512048,2504,2.6079976558685303
1709175691.026001,2518,3.1004483699798584
1709175736.877066,2578,4.515810012817383
1709175737.6625838,2579,-0.5643123388290405
1709175753.8788302,2600,-1.2317222356796265
1709175773.5442567,2628,-7.873230457305908
1709175779.1363256,2636,4.307260990142822
1709175785.3975914,2644,-5.93242883682251
1709175816.5227132,2685,0.4646174907684326
1709175823.3486507,2694,-0.015069585293531418
1709175835.1625695,2709,-1.9609800577163696
1709175842.385838,2718,-4.465958595275879
1709175869.6421397,2754,-5.017328262329102
1709175870.3857024,2755,3.2426769733428955
1709175880.3618848,2769,-15.977959632873535
1709175892.9343214,2786,2.6686441898345947
1709175913.2360415,2813,-3.3042871952056885
1709175938.4191997,2845,9.735687255859375
1709175951.754332,2862,-2.3891735076904297
1709176036.058832,2974,3.288640022277832
1709176117.1792917,3084,4.264073848724365
1709176117.968725,3085,3.497697114944458
1709176132.7584958,3105,7.093178749084473
1709176133.5972314,3106,10.020387649536133
1709176143.604174,3121,6.272629737854004
1709176162.9055324,3146,-9.772971153259277
1709176203.3487287,3200,8.991766929626465
1709176217.5724244,3218,-0.20762813091278076
1709176235.02039,3242,8.622530937194824
1709176251.7975488,3266,5.494277477264404
1709176254.0234723,3269,-6.337087154388428
1709176317.5117483,3357,-2.3177876472473145
1709176355.4608567,3405,-16.576250076293945
1709176399.663113,3462,-9.989468574523926
1709176416.3847435,3484,-5.546692371368408
1709176421.9773922,3492,-3.7339231967926025
1709176429.0900743,3501,-4.692653656005859
1709176449.5395544,3527,-9.934211730957031
1709176478.745545,3567,6.091742515563965
1709176481.003357,3570,-4.526505470275879
1709176505.3257093,3601,-3.182694435119629
1709176517.2320008,3617,-0.5792548060417175
1709176547.4327683,3655,-3.8233327865600586
1709176549.7660117,3658,1.5461593866348267
1709176553.0481377,3662,8.60781192779541
1709176558.2856405,3669,7.90217399597168
1709176560.5958855,3672,-9.951746940612793
1709176573.7782133,3691,1.8724485635757446
1709176590.1010914,3713,-4.191775798797607
1709176627.0498245,3762,0.15604129433631897
1709176643.912779,3783,9.27772045135498
1709176694.9670846,3849,10.008670806884766
1709176696.5581102,3851,-2.443639039993286
1709176736.6817174,3903,3.6825549602508545
1709176746.4283376,3916,2.2848174571990967
1709176760.5191126,3934,4.034189701080322
1709176792.132693,3976,4.217702865600586
1709176820.3641555,4013,-6.368236541748047
1709176828.645972,4024,7.741507053375244
1709176873.562337,4085,-2.599369525909424
1709176892.4070117,4110,-6.011470317840576
1709176901.2694278,4122,0.29657918214797974
1709176903.5151374,4125,-1.897615671157837
1709176920.225004,4147,-1.2250375747680664
1709176947.452911,4182,-0.9594833254814148
1709176955.9075565,4193,-11.112112045288086
1709176982.2837057,4228,-9.829264640808105
1709177005.6206057,4258,-2.119354486465454
1709177049.974564,4319,6.765255451202393
1709177057.051545,4329,-1.4794400930404663
1709177153.1719308,4455,-32.233558654785156
1709177217.1029556,4536,-0.01583877019584179
1709177220.2269754,4540,-3.093703269958496
1709177240.0572453,4565,-15.63006591796875
1709177277.4072428,4613,-16.00921630859375
1709177306.5605624,4650,-19.635135650634766
1709177338.6399534,4691,-10.186553955078125
1709177340.2515662,4693,-30.702245712280273
1709177345.0753677,4699,-22.510099411010742
1709177352.0643892,4708,-38.027610778808594
1709177370.2341087,4731,-12.663747787475586
1709177406.7272568,4778,4.566047668457031
1709177448.4895182,4833,4.340085983276367
1709177450.746095,4836,-34.82731246948242
1709177451.5035653,4837,-2.825436592102051
1709177457.4312081,4845,-35.68110275268555
