Wall time,Step,Value
1702038190.1725173,19,-15.11958122253418
1702038196.4556022,48,-7.166524410247803
1702038199.692644,63,-13.036434173583984
1702038205.576335,90,-17.48180389404297
1702038208.6010447,104,3.881704330444336
1702038209.4716122,108,-5.5913920402526855
1702038214.0196238,129,-11.241930961608887
1702038221.7381678,165,-10.576305389404297
1702038223.4893882,173,-9.931374549865723
1702038262.3566444,245,2.9219093322753906
1702038271.4145098,260,-3.128655195236206
1702038287.8627684,283,-7.9152092933654785
1702038372.7279778,387,-32.01156234741211
1702038385.6017215,403,1.9018917083740234
1702038396.1301937,416,3.2514944076538086
1702038413.890937,438,-7.468061923980713
1702038436.7253149,466,-29.294025421142578
1702038444.9157908,476,-30.074838638305664
1702038449.8117104,482,-5.085048198699951
1702038473.7073643,511,-19.861055374145508
1702038492.5561109,534,-18.784210205078125
1702038496.6898818,539,0.9556979537010193
1702038498.3385057,541,-17.510053634643555
1702038511.4914079,557,-25.56572723388672
1702038544.1304717,597,-9.221684455871582
1702038582.0259945,638,5.624619483947754
1702038587.5166898,644,9.034074783325195
1702038587.746734,645,6.261770725250244
1702038597.4695444,659,5.883482456207275
1702038613.2003238,676,5.9323859214782715
1702038679.0787354,765,5.924314022064209
1702038686.407918,776,6.144525051116943
1702038704.3301845,805,5.589823246002197
1702038738.381371,867,6.290126323699951
1702038749.6296835,887,18.293392181396484
1702038822.4280078,1016,5.845466136932373
1702038827.7960632,1027,8.073151588439941
1702038834.4721358,1038,7.8601179122924805
1702038854.2749527,1072,3.489000082015991
1702038871.747656,1112,5.955784797668457
1702038875.759173,1126,5.977841377258301
1702038879.1586716,1133,5.848761081695557
1702038888.2496169,1153,6.03035306930542
1702038895.8109128,1165,5.834851264953613
1702038901.965728,1177,6.06988000869751
1702038905.3350267,1185,5.9849724769592285
1702038923.9696226,1219,6.098894119262695
1702038944.7461884,1253,9.490768432617188
1702038946.17874,1255,2.4638309478759766
1702038953.4288063,1268,6.12489652633667
1702038955.4936862,1272,10.187568664550781
1702039007.927185,1377,6.161564826965332
1702039029.627476,1418,6.146612644195557
1702039048.9185321,1458,10.28647232055664
1702039050.034256,1459,2.494969129562378
1702039066.439097,1495,6.151655673980713
1702039071.6684654,1511,10.828767776489258
1702039074.0073516,1514,6.1887617111206055
1702039092.3364813,1549,4.420212268829346
1702039093.9457831,1552,6.333725929260254
1702039102.9120145,1566,5.6664910316467285
1702039134.7095237,1628,5.708821773529053
1702039137.4580352,1636,6.617679595947266
1702039150.8027008,1671,6.386870384216309
1702039166.0969977,1703,5.698296546936035
1702039168.3753245,1712,6.082633972167969
1702039233.4897482,1848,8.504032135009766
1702039238.5886195,1861,5.757663726806641
1702039253.0861278,1900,5.807725429534912
1702039258.6887393,1910,5.968777656555176
1702039268.6930373,1941,6.151118755340576
1702039278.3078094,1961,6.134859561920166
1702039278.6400895,1962,5.962997913360596
1702039320.6540058,2071,5.969099521636963
1702039323.904336,2080,6.120529651641846
1702039328.2874525,2090,15.945472717285156
1702039333.7414744,2101,14.688130378723145
1702039372.9898837,2210,5.924871921539307
1702039412.7293034,2320,6.133488655090332
1702039426.3538237,2360,6.340559482574463
1702039447.8582914,2437,6.13677978515625
1702039449.106207,2442,6.071718692779541
1702039453.7958345,2455,6.0366363525390625
1702039456.099106,2463,6.020252227783203
1702039457.4439173,2466,22.790700912475586
