Wall time,Step,Value
1702651975.3612309,108,-26.502561569213867
1702651993.189801,173,-13.955577850341797
1702652053.869536,245,-11.251260757446289
1702652074.0091975,260,-14.21881103515625
1702652266.0322597,403,-30.998193740844727
1702652350.7217543,466,-31.732194900512695
1702652411.4572456,511,1.2519385814666748
1702652448.7671087,539,-22.765615463256836
1702652472.8538947,557,-6.923969268798828
1702652525.3350275,597,-21.939420700073242
1702652629.967242,659,3.7399137020111084
1702652814.987843,765,-0.5817422270774841
1702652884.5689275,805,5.329164981842041
1702652990.8037205,867,4.922816753387451
1702653023.8657668,887,4.604493618011475
1702653248.6241946,1016,3.0067198276519775
1702653265.8648834,1027,13.218196868896484
1702653282.789101,1038,6.266177177429199
1702653425.2825701,1126,17.18738555908203
1702653437.4827545,1133,3.3795058727264404
1702653489.4135132,1165,12.639458656311035
1702653508.6683402,1177,6.780796527862549
1702653520.164999,1185,8.064000129699707
1702653629.455847,1253,5.963047981262207
1702653633.0516913,1255,24.803260803222656
1702653660.8130302,1272,4.262668609619141
1702653832.122645,1377,8.270223617553711
1702653889.5647585,1418,6.8835248947143555
1702653953.7044647,1459,6.049976348876953
1702654007.735356,1495,4.006808280944824
1702654034.4686606,1511,3.7624175548553467
1702654039.3444445,1514,13.19809627532959
1702654085.6642683,1549,6.114384651184082
1702654113.789568,1566,12.801119804382324
1702654268.3346496,1671,12.380577087402344
1702654668.6678233,1941,3.747112512588501
1702654695.3992572,1961,12.186134338378906
1702654697.135706,1962,3.8855934143066406
1702655218.642554,2360,12.90436840057373
1702655318.0409749,2437,1.9261873960494995
1702655322.2615628,2442,3.3962082862854004
1702655343.9154513,2463,6.1089348793029785
1702655348.4364073,2466,0.7503260374069214
1702655468.1644685,2504,5.9098591804504395
1702655563.8537412,2578,13.59208869934082
1702655640.6035929,2636,5.845513820648193
1702655650.4719172,2644,4.42461633682251
1702655696.3054469,2685,6.4620866775512695
1702655707.894579,2694,1.9309275150299072
1702655722.4754026,2709,6.273701190948486
1702655734.9280097,2718,0.7684205174446106
1702655800.1267533,2769,1.5524349212646484
1702655818.6159754,2786,5.941746234893799
1702655893.8924642,2845,8.946587562561035
1702656034.2530138,2974,4.3789567947387695
1702656159.0904264,3084,16.26676368713379
1702656173.6089206,3105,6.358759880065918
1702656173.779066,3106,6.229986190795898
1702656199.634057,3146,5.879276752471924
1702656228.0388865,3200,6.090276718139648
1702656241.7580152,3218,5.962155342102051
1702656254.8511012,3242,6.063899517059326
1702656267.006804,3266,3.7169485092163086
1702656269.222123,3269,5.988541126251221
1702656324.978122,3357,12.948285102844238
1702656356.0589724,3405,5.782388210296631
1702656400.8256147,3484,6.224940299987793
1702656448.9079385,3501,5.792020320892334
1702656463.3404555,3527,6.5538129806518555
1702656488.2173622,3567,5.783825397491455
1702656513.970429,3601,6.382135391235352
1702656522.2088072,3617,6.082463264465332
1702656542.2932343,3655,5.991690158843994
1702656551.2877705,3669,6.064276218414307
1702656552.8066359,3672,5.887641906738281
1702656577.5111952,3713,5.710811138153076
1702656624.00959,3783,6.038815498352051
1702656665.008486,3849,5.973965167999268
1702656706.8152533,3916,5.719993591308594
1702656807.6173708,4013,5.948055744171143
1702656815.001574,4024,5.375903129577637
1702656871.431304,4110,5.958889484405518
1702656876.3380687,4122,6.158106803894043
1702656912.0725877,4182,6.253684043884277
1702656919.3230937,4193,6.02802038192749
1702656940.7609024,4228,6.123279094696045
1702656990.986087,4319,5.7165751457214355
1702656998.05566,4329,5.958150863647461
1702657169.2182255,4540,5.920821189880371
1702657186.6206205,4565,6.390786647796631
1702657232.750234,4650,6.231857776641846
1702657253.393309,4691,6.174975872039795
1702657335.8288074,4833,6.081923961639404
1702657337.6721017,4837,4.339324474334717
1702657365.130738,4883,5.994663238525391
1702657511.947933,5080,6.048167705535889
1702657516.3653133,5089,5.795868396759033
1702657517.5994048,5091,6.0516839027404785
1702657540.1248546,5133,5.8890299797058105
1702657542.1865945,5137,6.366219520568848
1702657553.4172764,5156,7.542464256286621
1702657571.3518186,5188,5.9537353515625
1702657578.737097,5201,4.195748329162598
1702657591.2211542,5226,6.123859405517578
1702657609.9765496,5263,5.976405143737793
1702657630.2932868,5296,19.502147674560547
1702657669.9651914,5363,6.217653274536133
1702657693.3489459,5404,6.025510787963867
1702657729.0169375,5455,5.8531317710876465
1702657895.7570503,5668,6.24027681350708
1702657943.2676296,5759,8.023115158081055
1702657983.9874258,5833,6.138121604919434
1702658001.448048,5867,6.072202205657959
1702658008.0286188,5880,6.027825355529785
1702658051.022729,5957,6.133640766143799
1702658065.002077,5982,5.61413049697876
1702658073.6171625,5998,6.211401462554932
1702658131.7439973,6054,6.1501617431640625
1702658165.6782858,6112,5.372976779937744
1702658178.0634773,6139,5.844329357147217
1702658180.4082694,6143,6.000255107879639
1702658223.1962736,6226,6.177426815032959
1702658232.3435938,6244,6.069174289703369
1702658249.8200896,6280,5.821901321411133
1702658273.7268186,6333,6.07919979095459
1702658274.660056,6335,6.074777603149414
1702658286.6948106,6359,6.31503438949585
1702658287.1116383,6360,6.049437046051025
1702658289.6775417,6365,5.889552593231201
1702658294.1455634,6370,5.999736309051514
1702658439.236109,6552,6.142518997192383
1702658448.467865,6570,5.8577985763549805
1702658458.09504,6586,6.086063385009766
1702658462.711606,6591,6.222792625427246
1702658466.9039686,6600,6.235015392303467
1702658538.8439043,6731,6.113638877868652
1702658547.6512413,6751,5.938076496124268
1702658574.8069427,6803,6.164784908294678
1702658593.7027826,6843,6.3429670333862305
1702658596.7519376,6851,6.143171310424805
1702658629.5951035,6920,5.867260932922363
1702658669.8278942,6992,6.154469013214111
1702658672.583228,6997,6.604986190795898
1702658673.3774433,6999,5.9752726554870605
1702658730.8437881,7055,9.472121238708496
1702658793.8325355,7165,6.019928455352783
1702658816.0150588,7208,5.933376312255859
1702658837.70599,7254,5.5177812576293945
1702658868.2440276,7309,6.002479076385498
1702658893.3469155,7354,6.024766445159912
1702658937.9361205,7437,5.862401485443115
1702658950.5800226,7465,6.028967380523682
1702658953.0340621,7469,6.136209964752197
1702658953.8569107,7471,6.084110736846924
1702659004.3671756,7507,6.127159595489502
1702659023.2714624,7544,6.038144111633301
1702659048.0278118,7594,6.010953903198242
1702659053.5395594,7605,3.903681516647339
1702659076.8562522,7645,5.950805187225342
1702659122.3061519,7728,4.197622776031494
1702659124.0652921,7731,6.164743900299072
1702659135.8635917,7757,5.833693504333496
1702659154.8583984,7795,5.781199932098389
1702659169.9118433,7822,5.821756839752197
1702659186.8813066,7856,5.991024494171143
1702659208.3880107,7896,6.020601272583008
1702659258.8269079,7987,5.7292022705078125
1702659384.566346,8123,5.969137191772461
1702659482.767598,8292,5.728311061859131
1702659551.1855257,8398,5.749598503112793
