Wall time,Step,Value
1702099463.3065376,19,-5.945199489593506
1702099464.3886669,48,-1.7180120944976807
1702099465.0503602,63,-2.4036476612091064
1702099466.4452813,90,-0.1433202177286148
1702099467.18559,104,-3.8859875202178955
1702099467.4532413,108,9.311185836791992
1702099468.3180943,129,-0.45424577593803406
1702099469.849508,165,-0.7938758730888367
1702099470.1357358,173,-0.2201761156320572
1702099473.5418956,245,-4.875248908996582
1702099474.2217693,260,-2.3171346187591553
1702099475.210001,283,-0.9674733281135559
1702099480.0792158,387,-5.801284313201904
1702099480.9158223,403,-6.996387004852295
1702099481.698043,416,-1.464577078819275
1702099482.399218,438,-0.5108428001403809
1702099483.8118422,466,-2.040994167327881
1702099484.3018737,476,0.04017982631921768
1702099484.6092455,482,-0.3773353695869446
1702099486.014362,511,-1.2744708061218262
1702099487.1241753,534,-1.8183808326721191
1702099487.3233137,539,1.424373745918274
1702099487.40844,541,-1.7685104608535767
1702099488.2200792,557,-1.9436724185943604
1702099490.2148502,597,-2.4244353771209717
1702099494.523788,638,-1.503788709640503
1702099495.2153971,644,-0.6377525329589844
1702099495.2316825,645,-0.36006808280944824
1702099496.163936,659,-0.38047581911087036
1702099497.185782,676,-0.62657630443573
1702099502.0187604,765,-0.3098829388618469
1702099502.663828,776,-0.20335620641708374
1702099504.489958,805,-0.5833726525306702
1702099508.5728273,867,-0.3673263490200043
1702099509.7416549,887,-0.6021772623062134
1702099516.8580823,1016,-0.170904740691185
1702099517.9102771,1027,-2.2250492572784424
1702099518.5374231,1038,-0.8748123049736023
1702099520.0618422,1072,-0.6213374137878418
1702099522.2170074,1112,-0.40591880679130554
1702099523.1861634,1126,-0.33722779154777527
1702099523.4967427,1133,-0.6760342717170715
1702099524.7654216,1153,-0.32967352867126465
1702099525.3231745,1165,-0.5756675004959106
1702099526.1282923,1177,-0.5132240653038025
1702099526.6258335,1185,-0.1580478399991989
1702099528.3979204,1219,-1.0722275972366333
1702099530.0639448,1253,-0.14849841594696045
1702099530.120772,1255,-0.9725294709205627
1702099530.6275675,1268,-0.4192027747631073
1702099530.8953464,1272,1.635763168334961
1702099535.630432,1377,-0.35023489594459534
1702099537.6874676,1418,-0.15837040543556213
1702099539.0155983,1458,-0.6391741633415222
1702099539.0288692,1459,-0.15685883164405823
1702099540.596591,1495,-0.4889977276325226
1702099541.2373395,1511,-0.5918336510658264
1702099541.3521202,1514,-0.13002446293830872
1702099542.8164957,1549,-0.011226707138121128
1702099542.9270039,1552,-0.2810077965259552
1702099543.478052,1566,-0.6105204224586487
1702099545.8801322,1628,-0.2661043703556061
1702099546.2602825,1636,-0.9203460812568665
1702099547.908753,1671,-0.5232259631156921
1702099549.1349673,1703,-0.10483274608850479
1702099549.4421504,1712,-0.34028807282447815
1702099555.7543886,1848,-0.8296591639518738
1702099556.2592266,1861,-0.19874590635299683
1702099557.988173,1900,-0.2564956545829773
1702099558.297864,1910,-0.21087895333766937
1702099559.4241052,1941,-0.45139989256858826
1702099560.1125994,1961,-0.7678834199905396
1702099560.155723,1962,-0.5614105463027954
1702099565.387421,2071,-0.5022997856140137
1702099565.6961186,2080,-0.5226067900657654
1702099566.118126,2090,-0.35060223937034607
1702099566.716383,2101,-0.9795320630073547
1702099571.6398063,2210,-0.549098014831543
1702099576.9255338,2320,-0.26068511605262756
1702099578.8867176,2360,-0.5907560586929321
